SP,CC,CSab,P1ab,P2ab,P3ab,P4ab,P5ab,CSad,P1ad,P2ad,P3ad,P4ad,P5ad
FI,30.54,12.22,0.16,0.24,0.37,0.28,0.25,28.16,0.14,0.35,0.46,0.65,0.25
FI,30.33,14.36,0.32,0.38,0.48,0.37,0.27,26.64,0.19,0.24,0.66,0.65,0.2292
FI,28.53,15.18,0.22,0.36,0.41,0.37,0.26,25.05,0.17,0.21,0.52,0.58,0.34
FI,27.21,13.36,0.24,0.43,0.51,0.41,0.39,24.01,0.14,0.22,0.56,0.45,0.31
FI,22.2,10.61,0.19,0.23,0.29,0.26,0.22,19.43,0.12,0.18,0.38,0.35,0.14
FI,21.21,11.35,0.24,0.33,0.41,0.37,0.25,18.81,0.17,0.21,0.44,0.37,0.19
FI,31.28,14.4116,0.28,0.39,0.57,0.43,0.33,27.63,0.14,0.43,0.55,0.64,0.27
FI,31.26,14.18,0.29,0.41,0.45,0.39,0.36,28.15,0.11,0.22,0.46,0.37,0.25
FI,32.4,14.51,0.19,0.39,0.43,0.38,0.31,28.52,0.16,0.24,0.49,0.52,0.17
FI,33.55,16.34,0.23,0.33,0.46,0.36,0.21,29.85,0.11,0.25,0.59,0.62,0.28
FI,33.58,16.27,0.24,0.37,0.42,0.35,0.33,30.38,0.12,0.41,0.55,0.53,0.31
FI,22.63,11.86,0.25,0.29,0.39,0.34,0.28,20.43,0.11,0.18,0.32,0.23,0.22
FI,24.11,11.03,0.18,0.31,0.35,0.31,0.24,21.09,0.12,0.24,0.49,0.34,0.19
FI,25.75,11.87,0.25,0.23,0.35,0.29,0.21,22.11,0.09,0.17,0.31,0.21,0.18
FI,24.48,10.75,0.23,0.25,0.37,0.28,0.23,22.15,0.112258632,0.14,0.47,0.36,0.14
FI,29.19,13.74,0.21,0.31,0.33,0.31,0.18,25.81,0.17,0.34,0.34,0.41,0.29
FI,22.18,10.51,0.18,0.24,0.28,0.24,0.23,19.56,0.11,0.17,0.55,0.35,0.13
FI,25.71,12.77,0.24,0.36,0.41,0.38,0.31,23.01,0.121354122,0.18,0.49,0.31,0.14
FI,25.67,13.11,0.19,0.28,0.36,0.33,0.22,22.97,0.11,0.19,0.51,0.41,0.23
FI,21.36,11.56,0.26,0.33,0.38,0.29,0.28,18.87932477,0.21,0.27,0.28,0.24,0.13
FI,21.45,12.27,0.18,0.22,0.38,0.31,0.25,19.22,0.13,0.17,0.46,0.32,0.14
FI,23.95,11.86,0.22,0.29,0.37,0.29,0.19,20.88,0.11,0.21,0.41,0.49,0.21
FI,30.05,14.17,0.24,0.33,0.36,0.33,0.32,27.44,0.13,0.24,0.46,0.51,0.28
FI,30.78,13.66,0.27,0.38,0.41,0.33,0.29,25.06,0.14,0.33,0.53,0.64,0.18
FI,29.34,16.23,0.25,0.61,0.74,0.47,0.38,27.64,0.11,0.28,0.56,0.63,0.31
FI,31.29,13.97,0.24,0.37,0.54,0.37,0.35,26.57,0.11,0.25,0.56,0.49,0.26
FI,29.89,13.92,0.21,0.29,0.34,0.32,0.19,26.15,0.14,0.26,0.54,0.52,0.27
FP,20.9,11.66,0.17,0.2,0.22,0.2,0.11,19.23,0.41,0.43,0.49,0.39,0.24
FP,19.9,10.71,0.1,0.18,0.25,0.18,0.08,18.64,0.13,0.19,0.38,0.32,0.28
FP,26.2,13.18,0.17,0.18,0.23,0.17,0.12,23.59,0.22,0.28,0.61,0.35,0.21
FP,24.47,12.91,0.19,0.22,0.35,0.21,0.16,22.33,0.37,0.55,0.69,0.46,0.31
FP,23.01,11.83,0.09,0.11,0.18,0.12,0.06,20.81,0.41,0.52,0.86,0.38,0.25
FP,22.87,11.01,0.11,0.13,0.18,0.11,0.07,20.72,0.43,0.69,0.81,0.48,0.35
FP,21.69,10.11,0.1,0.15,0.2,0.15,0.09,20.47,0.33,0.43,0.69,0.39,0.23
FP,21.53,10.35,0.11,0.13,0.22,0.15,0.12,20.07,0.29,0.43,0.6,0.41,0.33
FP,21.49,12.05,0.14,0.17,0.22,0.17,0.13,19.95,0.31,0.41,0.79,0.41,0.25
FP,20.5,11.15,0.12,0.14,0.17,0.14,0.08,19.16,0.35,0.41,0.67,0.39,0.27
FP,19.64,9.96,0.1,0.12,0.14,0.12,0.06,19.08,0.31,0.36,0.57,0.37,0.29
FP,20.74,10.9,0.18,0.19,0.21,0.17,0.12,19.02,0.33,0.36,0.78,0.38,0.31
FP,20.9,11.78,0.13,0.15,0.21,0.14,0.09,18.99,0.44,0.49,0.57,0.27,0.21
FP,20.64,11.1,0.14,0.19,0.23,0.18,0.13,18.75,0.32,0.45,0.68,0.38,0.19
FP,19.7,10.07,0.13,0.16,0.24,0.15,0.08,18.27,0.32,0.45,0.48,0.4,0.26
FP,19.56,9.52,0.07,0.1,0.15,0.12,0.06,18.25,0.33,0.42,0.66,0.35,0.27
FP,19.27,10.97,0.11,0.15,0.18,0.1,0.08,17.74,0.33,0.39,0.55,0.37,0.28
FP,18.66,9.9,0.08,0.11,0.13,0.11,0.08,17.71,0.23,0.36,0.56,0.29,0.23
FP,19.03,10.03,0.1,0.12,0.16,0.11,0.07,17.7,0.31,0.37,0.57,0.28,0.21
FP,18.86,10.45,0.08,0.11,0.15,0.1,0.07,17.41,0.25,0.35,0.43,0.34,0.25
FP,18.75,10.12,0.12,0.14,0.18,0.12,0.09,17.11,0.31,0.37,0.41,0.32,0.19
FP,18.27,8.46,0.07,0.11,0.14,0.11,0.05,16.65,0.25,0.32,0.52,0.32,0.23
FP,18.34,10.81,0.18,0.22,0.28,0.2,0.15,16.35,0.37,0.39,0.55,0.35,0.21
